CC(C)I.CNCc1ccccc1.O=CC1CCC1|8>>CC(C)C(C1CCC1)N(C)Cc1ccccc1
C=Cc1ccccc1.Fc1ccc2c(c1)c1cc(F)ccc1[s+]2C(F)(F)F.O|0>>O=COC(CC(F)(F)F)c1ccccc1
CCCCI.O=C(/C=C/c1ccccc1)c1ccccc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|45>>CCCCS(=O)(=O)C(CC(=O)c1ccccc1)c1ccccc1
C#Cc1cccc(C#C)c1.Cc1ccc(S(=O)(=O)N/N=C/c2ccccc2O)cc1.O=O|3>>C#Cc1cccc(-c2cc3ccccc3oc2=O)c1
C=Cc1ccc(C)cc1.Cc1ccc(S)cc1.O=C=O|27>>Cc1ccc(SC(CC(=O)O)c2ccc(C)cc2)cc1
C=Cc1ccccc1O.CC(C)O[n+]1ccccc1.CS(C)=CC(=O)c1ccc(Br)cc1.F[B-](F)(F)F|6>>CC(C)OC[C@H]1c2ccccc2OC1C(=O)c1ccc(Br)cc1
CC(C)I.CCCC=O.CNc1ccccc1|8>>CCCC(C(C)C)N(C)c1ccccc1
C=C(c1ccccc1)c1ccccc1.CCCC=O.c1ccc(C2CCNCC2)cc1|0>>CCCC(CC(c1ccccc1)c1ccccc1)N1CCC(c2ccccc2)CC1
C=C(C)c1cccc(N)c1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>CC(O)(CN=[N+]=[N-])c1cccc(N)c1
C=Cc1ccc(Br)cc1.CC#N.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.O|0>>CC(=O)NC(CC(F)(F)F)c1ccc(Br)cc1
C=Cc1ccccc1.CC(=O)O.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F|0>>CC(=O)OC(CC(F)(F)F)c1ccccc1
C=C(O[Si](C)(C)C)c1ccccc1.C=CCC/C(=N/Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc(Br)cc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|0>>O=C(CS(=O)(=O)CC1CCC(c2ccc(Br)cc2)=N1)c1ccccc1
COc1ccc(C=O)cc1.Nc1ccc(C(F)(F)F)cc1.OB(O)C1CCCC1|2>>COc1ccc(C(Nc2ccc(C(F)(F)F)cc2)C2CCCC2)cc1
C=CCCC(=O)Nc1ccc(C)cc1.O=S(=O)(c1ccccc1)N(F)S(=O)(=O)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|1>>Cc1ccc(N2C(=O)CCC2CS(=O)(=O)F)cc1
C=Cc1ccc(C)cc1.Cn1c(=O)cnc2ccccc21.F[B-](F)(F)F.N#[N+]c1ccccc1.O=S(O[Na])OS(=O)O[Na]|1>>Cc1ccc(C(CS(=O)(=O)c2ccccc2)c2nc3ccccc3n(C)c2=O)cc1
C=CS(=O)(=O)c1ccccc1.CC[SiH](CC)CC.O=C=O|0>>CC[Si](CC)(CC)CC(C(=O)O)S(=O)(=O)c1ccccc1
F[B-](F)(F)C1CCCC1.O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccccc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|0>>O=C(CC(c1ccc([N+](=O)[O-])cc1)S(=O)(=O)C1CCCC1)c1ccccc1
C=Cc1ccc2ccccc2c1.CC#N.[N-]=[N+]=N[IH2]1OC(=O)c2ccccc21|0>>CC(=O)N(C(=O)c1ccccc1I)C(CN=[N+]=[N-])c1ccc2ccccc2c1
C=C(CCC)c1ccccc1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>CCCC(O)(CN=[N+]=[N-])c1ccccc1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.O=C(O)c1ccc(Cl)cc1F|9>>N#CCCCC[C@H](/C=C/c1ccccc1)OC(=O)c1ccc(Cl)cc1F
C#Cc1ccccc1.C=Cc1ccc(OC)cc1.COc1ccc(C(=O)ON=C2CCC2)cc1|6>>COc1ccc(C(C#Cc2ccccc2)CCCCC#N)cc1
CC(C)(C)ON=O.COc1ccc(N(C)C(=O)C#Cc2cc(C)cc(C)c2)cc1.COc1ccc(N)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|2>>COc1ccc(S(=O)(=O)C2=C(c3cc(C)cc(C)c3)C3(C=CC(=O)C=C3)N(C)C2=O)cc1
