4.2,0.22
0.56,1.6
2.5,3.2
12.14,0.26
14.20,24.3
0.4,3.2
44.46,0.5
42.1,21.24
15.5,0.8
0.22,45.7
0.1,9.2
0.3,2.33
0.22,0.1
4.16,25.29
11.4,45.7
2.5,0.13
0.2,0.31
49.3,0.7
1.6,5.10
36.9,0.1
0.4,18.23
30.1,0.1
15.5,0.3
0.22,2.4
0.15,23.7
32.3,0.1
18.23,0.8
3.2,0.36
0.40,3.2
10.17,38.1
0.4,0.39
0.27,0.1
1.1,3.2
49.3,0.1
45.7,0.6
0.6,0.9
21.24,0.11
0.26,0.13
8.2,0.11
3.2,7.6
0.6,1.1
0.3,1.1
2.4,0.8
38.1,2.5
33.4,14.20
33.4,39.7
1.1,3.2
24.3,0.3
35.3,1.19
1.30,0.4
11.4,37.1
0.6,0.8
0.18,48.12
22.7,0.3
0.1,0.3
3.2,10.6
3.2,6.4
0.4,0.37
7.6,0.1
0.1,1.30
0.22,0.5
0.2,29.34
0.37,3.2
0.5,47.47
0.1,0.18
0.5,17.2
36.9,0.1
0.1,0.44
0.1,46.48
0.1,2.4
0.6,3.2
12.14,1.1
2.4,0.58
21.24,25.29
40.5,3.2
37.1,34.12
9.2,20.25
6.43,7.6
0.1,11.4
2.33,0.1
0.18,0.52
0.1,0.37
0.4,0.5
0.8,5.10
4.35,0.1
0.38,0.51
39.7,6.43
22.7,2.33
18.23,0.4
0.26,0.8
6.2,1.30
3.2,0.38
4.35,1.6
45.7,2.5
0.1,0.4
6.43,0.36
1.1,0.13
0.1,1.1
22.7,0.1
28.12,8.2
0.13,13.21
8.2,44.46
27.2,21.24
9.2,3.2
50.7,
3.2,
1.19,
0.9,
16.1,
1.11,
0.58,
0.38,
14.20,
2.33,
0.1,
2.33,
0.54,
6.2,
35.3,
0.42,
0.27,
1.11,
41.1,
0.1,
23.7,
1.1,
0.30,
10.17,
3.2,
6.2,
0.1,
0.4,
14.20,
25.29,
0.57,
0.1,
1.1,
0.13,
0.1,
2.5,
1.1,
0.7,
0.9,
45.7,
33.4,
0.54,
1.1,
21.24,
0.8,
0.1,
0.3,
3.2,
0.4,
0.13,
0.26,
51.7,
1.1,
0.4,
4.32,
0.4,
5.10,
0.27,
0.1,
0.1,
0.30,
0.1,
0.4,
34.12,
0.1,
13.21,
25.29,
0.1,
3.2,
0.31,
0.3,
4.35,
0.16,
0.7,
0.45,
0.4,
0.1,
0.1,
0.15,
0.7,
34.12,
0.4,
0.56,
0.1,
0.27,
0.6,
0.15,
33.4,
1.1,
5.10,
0.39,
0.1,
1.19,
14.20,
0.40,
0.40,
7.6,
0.6,
0.5,
0.1,
0.4,
0.1,
0.5,
44.46,
48.12,
2.5,
1.1,
0.38,
23.7,
18.23,
0.9,
13.21,
5.10,
27.2,
0.52,
49.3,
2.1,
0.11,
0.1,
0.1,
47.47,
0.31,
0.5,
0.2,
4.2,
0.9,
0.2,
0.6,
9.2,
0.3,
33.4,
0.3,
0.3,
3.2,
0.15,
0.15,
6.4,
3.2,
1.19,
0.1,
23.7,
21.24,
39.7,
0.15,
0.7,
0.1,
6.43,
30.1,
37.1,
2.4,
0.1,
1.1,
1.11,
0.8,
11.4,
18.23,
0.1,
5.10,
9.2,
23.7,
0.3,
3.2,
17.2,
7.6,
0.1,
40.5,
0.5,
24.3,
0.1,
0.1,
28.12,
16.1,
1.6,
6.43,
0.6,
2.1,
0.5,
0.7,
1.6,
0.8,
18.23,
2.33,
22.7,
33.4,
7.6,
0.7,
0.4,
18.23,
0.54,
0.36,
0.1,
0.1,
6.4,
1.19,
9.2,
3.2,
0.1,
11.4,
9.2,
3.2,
7.6,
0.1,
2.33,
0.3,
0.22,
51.7,
0.5,
