F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c 2 c c c c c 2 c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v47]
C = C c 1 c c c c c 1 O . C C ( C ) O [n+] 1 c c c c c 1 . C S ( C ) = C C ( = O ) c 1 c c c ( Br ) c c 1 . F [B-] ( F ) ( F ) F | [v6]
C # C c 1 c c c c c 1 . C c 1 c c c ( C ( = O ) O ) c c 1 . O = S ( O [Na] ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 Br | [v15]
C = C ( C ( = O ) O C ) N ( C ( = O ) O C ( C ) ( C ) C ) C ( = O ) O C ( C ) ( C ) C . N c 1 c c c ( F ) c c 1 . O = C c 1 c c c n c 1 | [v31]
C = C C C c 1 c c c c c 1 . C O c 1 c c 2 c ( c c 1 O C ) C ( = O ) C ( C C 1 C C N C C 1 ) C 2 . O = C 1 C C C ( = O ) N 1 Cl | [v24]
C # C C O C 1 C C C C O 1 . C O . N c 1 c c c c c 1 C ( = O ) O . O = O | [v3]
C = C C C O C ( = O ) c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) / N = N / C ( = O ) O C ( C ) ( C ) C . O = S ( O [Na] ) C ( F ) ( F ) F | [v0]
C # C c 1 c c c ( O C ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . N N 1 C C O C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C N ( C ) c 1 c c c c c 1 . N # C C c 1 c c c c c 1 . O = C ( O ) c 1 c c c c c 1 | [v0]
C C ( C ) I . C C C C = O . C N c 1 c c c c c 1 | [v8]
C C ( C ) ( C ) O O . C C C C N . C C O C ( = O ) C # C C ( = O ) O C C | [v0]
C = C c 1 c c c c c 1 . C C C C C C ( = O ) C # N . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . O | [v0]
C = C C ( = O ) O C c 1 c c c c c 1 . C C [SiH] ( C C ) C C . O = C = O | [v0]
C # C c 1 c c c ( C C C C ) c c 1 . C O . c 1 c c c ( C N c 2 c c c c c 2 ) c c 1 | [v3]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C C C C = O . c 1 c c c ( C 2 C C N C C 2 ) c c 1 | [v0]
C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . O = C ( c 1 c c c c c 1 ) N 1 C C C [C@@H] 1 C O . [C-] # [O+] | [v0]
O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] . O = [N+] ( [O-] ) c 1 c c c ( C = C 2 C C 2 ) c c 1 | [v2]
C / C = C / C ( = O ) n 1 n c ( C ) c c 1 C . C c 1 c c s c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v14]
C = C C ( = O ) O C C C C . C = O . c 1 c c c ( C N C c 2 c c c c c 2 ) c c 1 | [v0]
C = C / C = C / c 1 c c c c ( C ( F ) ( F ) F ) c 1 . C C ( C ) ( C ) C ( = O ) O . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 | [v9]
C C n 1 c ( C ) c c 2 c c c c c 2 1 . O = S ( = O ) ( Cl ) c 1 c c c c c 1 . [C-] # [O+] | [v0]
C = C ( C ) c 1 c c c c c 1 N C ( = O ) c 1 c c c o 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v1]
C = C c 1 c c c c c 1 N C ( = O ) c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [NH+] # [N+] c 1 c c c c c 1 | [v1]
C = C c 1 c c c c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I | [v0]
C 1 C C N C C 1 . C C ( C ) ( C ) c 1 c c c ( Br ) c c 1 . [C-] # [O+] | [v4]
C # C c 1 c c c ( C # C ) c c 1 . O = O . O c 1 c c c c c 1 | [v3]
C O . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . [C-] # [O+] | [v0]
C C ( C ) I . C C C C N . C C O C ( = O ) C ( = O ) C C 1 C C C N 1 C ( = O ) O C ( C ) ( C ) C | [v17]
C = C ( C ) c 1 c c c c ( N ) c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . O = O | [v21]
Br c 1 c c c c c 1 . C 1 C C C C C 1 . C = C C ( = O ) O C | [v13]
C = C c 1 c c c ( Br ) c c 1 . C C # N . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . O | [v0]
C = C C C ( C C = C ) ( C ( = O ) O C C ) C ( = O ) O C C . C C ( C ) ( C ) c 1 c c c ( Br ) c c 1 . O = S ( O [Na] ) c 1 c c c c c 1 | [v12]
C = C c 1 c c c c c 1 . C C ( = O ) O . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0]
C # C C C C C Cl . C O . N c 1 c c c c c 1 C ( = O ) O . O = O | [v3]
C # C c 1 c c c ( C C ) c c 1 . C C N c 1 c c c c c 1 . C O | [v3]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c n c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I . N [C@H] 1 c 2 c c c c c 2 C [C@H] 1 O | [v1]
C = C ( O [Si] ( C ) ( C ) C ) c 1 c c c c c 1 . C = C C C / C ( = N / O c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 [N+] ( = O ) [O-] ) c 1 c c c ( Br ) c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v0]
C = C ( O [Si] ( C ) ( C ) C ) c 1 c c c c c 1 . C = C C C / C ( = N / O c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 [N+] ( = O ) [O-] ) c 1 c c c 2 c c c c c 2 c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v0]
C C ( C ) c 1 c c c c ( C ( C ) C ) c 1 N . C c 1 c c c ( S ( = O ) ( = O ) N c 2 c c c ( I ) c c 2 ) c c 1 . [C-] # [O+] | [v20]
C O c 1 c c c ( C = O ) c ( O C ) c 1 O C . F B ( F ) C 1 C C C C C 1 . N c 1 c c c c c 1 . [F-] . [K+] | [v0]
C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( O C ( = O ) C C ) C 1 C ( C ) C c 1 c c c 2 c ( c 1 ) O C O 2 . O = C ( / C = C / c 1 c c c c c 1 ) c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C c 1 c c c ( C = N N S ( = O ) ( = O ) c 2 c c c ( C ) c c 2 ) c c 1 . O = C = O . S c 1 c c c c c 1 | [v0]
C = C c 1 c c c 2 c c c c c 2 c 1 . C C ( C ) ( C ) [Si] ( C ) ( C ) O C C C C C C = O . C [Si] ( C ) ( C ) N = [N+] = [N-] . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0]
C = C ( c 1 c c c c c 1 ) C 1 C C 1 . C O . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v0]
C O c 1 c c c ( C = O ) c c 1 . N c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O B ( O ) C 1 C C C C 1 | [v2]
C # C c 1 c c c c c 1 . C C O . C N c 1 c c c c c 1 | [v3]
C C ( = O ) c 1 c c c ( [N+] # N ) c c 1 . C c 1 c c c ( S ) c c 1 . F [B-] ( F ) ( F ) F . O = S ( O [Na] ) O S ( = O ) O [Na] | [v0]
C = C C C C ( = O ) N c 1 c c c ( C ) c c 1 . O = S ( = O ) ( c 1 c c c c c 1 ) N ( F ) S ( = O ) ( = O ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v1]
C = C c 1 c c c c c 1 . C C # N . C O C ( = O ) c 1 s c c c 1 [N+] # N . F [B-] ( F ) ( F ) F . O | [v0]
C = C c 1 c c c ( C ) c c 1 . C n 1 c ( = O ) c n c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v1]
C C ( = O ) O C ( C ) = O . C C 1 = C / C ( = C \ c 2 c c c c c 2 ) C = C ( C ( C ) ( C ) C ) C 1 = O . F [B-] ( F ) ( F ) C 1 C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [K+] | [v39]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) O [IH2] ( N = S ( C ) ( C ) = O ) c 2 c c c c c 2 ) c c 1 . O = O | [v0]
C = C C ( = O ) O C c 1 c c c c c 1 . C C ( C ) ( C ) C 1 ( O C ( = O ) C ( = O ) O [Cs] ) C C C C C 1 | [v0]
C = C C = C . C C ( C ) = C C O c 1 c c c c c 1 Br . C C N C C | [v0]
C O C ( = O ) c 1 c c c ( C = O ) c c 1 . N c 1 c c c c c 1 . O B ( O ) C 1 C C C C 1 | [v2]
C = C c 1 c c c c ( Cl ) c 1 . C c 1 c c c ( S ( = O ) ( = O ) N [n+] 2 c c c c c 2 ) c c 1 . F [B-] ( F ) ( F ) F | [v0]
C = C c 1 c c c ( O C ) c c 1 C . N c 1 c c c c c 1 . O = C 1 c 2 c c c c c 2 C ( = O ) N 1 O C ( = O ) C 1 2 C [C@H] 3 C [C@@H] ( C 1 ) C [C@@H] ( C 2 ) C 3 | [v33]
C C C C C C # C C = O . N c 1 n [nH] c 2 c c c c c 1 2 . c 1 c c c ( [Se] [Se] c 2 c c c c c 2 ) c c 1 | [v0]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I . N [C@@H] 1 c 2 c c c c c 2 C [C@@H] 1 O | [v1]
C = C S ( = O ) ( = O ) c 1 c c c c c 1 . C C [SiH] ( C C ) C C . O = C = O | [v0]
C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . S c 1 c c c 2 c c c c c 2 c 1 | [v0]
F [B-] ( F ) ( F ) C 1 C C C C 1 . O = C ( / C = C / c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 ) c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [K+] | [v0]
C = C c 1 c c c ( O C ( = O ) [C@H] 2 [C@@H] 3 [C@] 4 ( C ) C ( = O ) O [C@] 3 ( C = C [C@@H] 4 O C ( C ) = O ) [C@@H] 3 C C [C@] 4 ( O C ( C ) = O ) C [C@] 2 3 C C 4 = C ) c c 1 . C c 1 c c c ( S ( = O ) ( = O ) O C ( F ) ( F ) F ) c c 1 . [N-] = [N+] = N [IH2] 1 O C ( = O ) c 2 c c c c c 2 1 | [v32]
C # C c 1 c c c c ( O C ) c 1 . N # C c 1 c c n c ( N ) c 1 . O = O . S c 1 c c c c c 1 | [v0]
C = C / C = C / C C ( C ) ( C ) C . C [Si] ( C ) ( C ) N = [N+] = [N-] . C c 1 c c ( C ) [n+] ( N C ( = O ) O C ( C ) ( C ) C ) c ( C ) c 1 . F [B-] ( F ) ( F ) F | [v1]
C # C c 1 c c c c c 1 . C O c 1 c c c ( N ) c c 1 C . O = O | [v3]
C [Si] ( C ) ( C ) N = [N+] = [N-] . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . O / C = C / c 1 c c c c c 1 | [v0]
C = C c 1 c c c 2 c c c c c 2 c 1 . C C # N . [N-] = [N+] = N [IH2] 1 O C ( = O ) c 2 c c c c c 2 1 | [v0]
C = C C O c 1 c c c c c 1 [N+] # N . C C O . F [B-] ( F ) ( F ) F . [C-] # [O+] | [v43]
C = C ( C ) c 1 c c c c c 1 . C C ( C ) ( C ) c 1 c c c ( C = O ) c c 1 . C n 1 c c c 2 c c c c c 2 1 | [v37]
C C C I . C O c 1 c c c ( C = O ) c c 1 . C O c 1 c c c ( N ) c c 1 | [v10]
C C C C C c 1 c c c ( C # C Br ) c c 1 . F [B-] ( F ) ( F ) C 1 C C C C 1 . O = S ( O [Na] ) O S ( = O ) O [Na] . [K+] | [v50]
C c 1 c c c ( S ( = O ) ( = O ) N N = C C ( c 2 c c c c c 2 ) c 2 c c c c c 2 ) c c 1 . O = S ( O [Na] ) C ( F ) ( F ) F | [v0]
C = C C ( = O ) O C c 1 c c c c c 1 . C = C C / C ( = N \ N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v0]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ) c c 1 . N # C c 1 c c n c ( N ) c 1 . O = O | [v0]
C = C c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 . O = O . S = C = S | [v52]
C = C C = C . C C ( C ) = C C ( = O ) N ( C c 1 c c c c c 1 ) c 1 c c c c c 1 Br . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0]
C # C c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 [N+] ( = O ) [O-] . O = O . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C # C c 1 c c c c c 1 . C = C c 1 c c c ( B 2 O C ( C ) ( C ) C ( C ) ( C ) O 2 ) c c 1 . C O c 1 c c c ( C ( = O ) O N = C 2 C C C 2 ) c c 1 | [v6]
C # C c 1 c c c ( O C ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . N N 1 C C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C = C c 1 c c c c c 1 - c 1 c c c c c 1 . C C O [n+] 1 c c c ( C # N ) c c 1 | [v0]
C = C C C C C O C ( = O ) C 1 C C C 1 . C O c 1 c c c ( [N+] # N ) c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . F B ( F ) F . [F-] | [v0]
C S c 1 c c c c ( N O C ( = O ) c 2 c c c c c 2 ) c 1 . O = C ( O ) C 1 C C C C C 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v23]
C # C c 1 c c c c c 1 . N c 1 c c c c ( Cl ) c 1 . O = O . S c 1 c c c c c 1 | [v0]
C O C ( = O ) N ( C ) S ( = O ) ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c ( [N+] ( = O ) [O-] ) c 1 . C O c 1 c c c ( - n 2 c c n c 2 C ( = O ) C c 2 c c c ( [N+] ( = O ) [O-] ) c c 2 ) c ( C ) c 1 | [v0]
O = C ( O ) C C C C C N C ( = O ) c 1 c c c ( Cl ) c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 . [N-] = [N+] = N [Na] | [v23]
C = C ( c 1 c c c 2 c ( c 1 ) O C O 2 ) c 1 c c c c n 1 . C N 1 C C N C C 1 . O = C 1 C C C C C 1 | [v0]
C = C ( C C C ) c 1 c c c c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . O = O | [v21]
C = C c 1 c c c 2 c c c c c 2 c 1 . C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . N # C [S-] . [NH4+] | [v0]
C = C c 1 c c c ( C Cl ) c c 1 . C O c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . N # C [S-] . [NH4+] | [v0]
C = C / C = C / c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 . O = C ( O ) c 1 c c c ( Cl ) c c 1 F | [v9]
C [Si] ( C ) ( C ) N = [N+] = [N-] . O = C ( c 1 c c c c c 1 ) n 1 c c c 2 c c c c c 2 1 . O = O | [v46]
C C ( C ) ( C ) O N = O . C C O c 1 c c c ( N ) c c 1 . C O c 1 c c c ( N ( C ) C ( = O ) C # C c 2 c c c c c 2 ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v2]
C = C c 1 c c c c c 1 . C O C C # N . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . O | [v0]
C C ( C ) I . C C ( C ) [Si] ( O C C C N C c 1 c c c c c 1 ) ( C ( C ) C ) C ( C ) C . C C C C = O | [v8]
C c 1 c c ( N O C ( = O ) c 2 c c c c c 2 ) c c ( C ) c 1 C . O = C ( O ) C 1 C C C C C 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v23]
F [B-] ( F ) ( F ) C 1 C C C C C 1 . N c 1 c c c c c 1 . O = C c 1 c c c c ( Br ) c 1 . [K+] | [v0]
C C ( C ) ( C ) O O . C C O C ( = O ) C # C C ( = O ) O C C . C c 1 c c c c ( Br ) c 1 N | [v0]
C O C ( = O ) / C = C / c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) N [n+] 2 c c c c c 2 ) c c 1 . F [B-] ( F ) ( F ) F . O | [v0]
C = C ( N = [N+] = [N-] ) c 1 c c c ( Br ) c c 1 . C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( C ( = O ) O C C ) C 1 C 1 C C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C O . C c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . [C-] # [O+] | [v0]
C = C c 1 c c c c c 1 O . C C C O [n+] 1 c c c c c 1 . C S ( C ) = C C ( = O ) c 1 c c c ( Br ) c c 1 . F [B-] ( F ) ( F ) F | [v6]
C = C c 1 c c c c c 1 / C = N / S ( = O ) ( = O ) c 1 c c c ( O C ) c c 1 . C [Si] ( C ) ( C ) C # N . F B ( F ) F . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . [F-] | [v0]
C = C ( C ) c 1 c c c c c 1 . C n 1 c c c 2 c c c c c 2 1 . O = C c 1 c c c c c 1 | [v37]
C = C c 1 c c c ( Cl ) c c 1 . C C # N . C c 1 c c c ( C ) c ( [S+] ( c 2 c c c c c 2 C ) C ( F ) F ) c 1 . F [B-] ( F ) ( F ) F . O | [v0]
C C ( C ) O . C c 1 c c c c ( [N+] # N ) c 1 . F [B-] ( F ) ( F ) F . [C-] # [O+] | [v0]
C = C c 1 c c c ( C ( F ) ( F ) F ) c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . O | [v0]
C = C N C ( C ) = O . C O C ( = O ) C Br . Cl c 1 c c n c 2 c c c c c 1 2 | [v34]
C # C c 1 c c c c c 1 . C = C c 1 c c c ( O C ) c c 1 . C O c 1 c c c ( C ( = O ) O N = C 2 C C C 2 ) c c 1 | [v6]
F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = C ( C # C c 1 c c c c c 1 ) O c 1 c c c c ( F ) c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C # C c 1 c c c c c 1 Cl . N # C c 1 c c n c ( N ) c 1 . O = O . S c 1 c c c c c 1 | [v0]
C n 1 c c c 2 c c c c c 2 1 . O = S ( = O ) ( Cl ) c 1 c c c c c 1 Cl . [C-] # [O+] | [v0]
C = C c 1 c c c ( C Br ) c c 1 . F c 1 c c c 2 c ( c 1 ) c 1 c c ( F ) c c c 1 [s+] 2 C ( F ) ( F ) F . O | [v0]
C # C c 1 c c c c ( [N+] ( = O ) [O-] ) c 1 . O = O . O c 1 c c c c c 1 | [v3]
C = C c 1 c c c ( O C ( C ) = O ) c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . C S ( C ) = O | [v1]
C n 1 c c c 2 c c c c c 2 1 . O = [N+] ( [O-] ) c 1 c c c ( S ( = O ) ( = O ) Cl ) c c 1 . [C-] # [O+] | [v0]
C C ( C ) ( C ) O N = O . C O c 1 c c c ( N ( C ) C ( = O ) C # C c 2 c c ( C ) c c ( C ) c 2 ) c c 1 . C O c 1 c c c ( N ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v2]
C 1 C C N C C 1 . C = C C C c 1 c c c c c 1 . N [C@H] 1 [C@@H] ( O C c 2 c c c c c 2 ) O [C@@H] ( O C c 2 c c c c c 2 ) [C@H] ( N ) [C@H] 1 O C c 1 c c c c c 1 . O = C 1 C C C ( = O ) N 1 Cl | [v35]
C C ( C ) N C ( C ) C . N # C c 1 c c c ( I ) c c 1 . [C-] # [O+] | [v20]
C = C c 1 c c c ( O C ( C ) = O ) c c 1 . C C O C ( = O ) c 1 c c c ( N ) c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0]
C [Si] ( C ) ( C ) [SiH] ( [Si] ( C ) ( C ) C ) [Si] ( C ) ( C ) C . O = C = O . [C-] # [N+] c 1 c c c ( C = C ) c c 1 | [v0]
C = C ( C ) c 1 c c c ( F ) c c 1 . C O . F C ( F ) [P+] ( c 1 c c c c c 1 ) ( c 1 c c c c c 1 ) c 1 c c c c c 1 . [Br-] | [v0]
C = C c 1 c c ( Cl ) c c ( Cl ) c 1 . F c 1 c c c 2 c ( c 1 ) c 1 c c ( F ) c c c 1 [s+] 2 C ( F ) ( F ) F . O | [v0]
C = C C C C ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( = O ) ( c 1 c c c c c 1 ) N ( F ) S ( = O ) ( = O ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v1]
C = C C C C . C [Si] ( C ) ( C ) N = [N+] = [N-] . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c ( Cl ) c 1 | [v0]
